

lambda, I
901.1460, 185845.2812
901.3239, 185835.0625
901.5018, 185837.0000
901.6797, 185815.7188
901.8577, 185790.3906
902.0356, 185806.8281
902.2135, 185782.8906
902.3914, 185799.2188
902.5693, 185791.2812
902.7473, 185768.0000
902.9251, 185762.0000
903.1030, 185790.7031
903.2809, 185824.2969
903.4589, 185800.4062
903.6368, 185808.9375
903.8147, 185831.0000
903.9926, 185814.2188
904.1705, 185888.3906
904.3484, 185872.9375
904.5264, 185873.9375
904.7043, 185896.7812
904.8822, 185887.6094
905.0601, 185929.5000
905.2380, 185930.3906
905.4160, 185943.1094
905.5939, 185990.2188
905.7718, 185988.0625
905.9497, 185940.5312
906.1276, 185978.2969
906.3055, 185949.7656
906.4835, 185899.7656
906.6614, 185868.8281
906.8393, 185926.3281
907.0172, 185881.7812
907.1951, 185859.4375
907.3730, 185888.6719
907.5510, 185862.5000
907.7289, 185836.6719
907.9068, 185811.2188
908.0847, 185808.6719
908.2626, 185964.0000
908.4406, 185828.8281
908.6185, 185774.8906
908.7964, 185801.6094
908.9743, 185731.5000
909.1522, 185714.7812
909.3301, 185745.3594
909.5081, 185754.5312
909.6860, 185783.1719
909.8639, 185784.5312
910.0418, 185798.1250
910.2197, 185840.1719
910.3976, 185849.6719
910.5756, 185914.3281
910.7535, 185929.6719
910.9314, 186023.2188
911.1093, 186040.0625
911.2872, 186071.9375
911.4651, 186077.7188
911.6431, 186063.7188
911.8210, 186069.1719
911.9989, 186024.1094
912.1768, 186005.1094
912.3547, 185986.6094
912.5327, 185951.5312
912.7106, 185912.7031
912.8885, 185885.4688
913.0664, 185811.1250
913.2443, 185843.4375
913.4222, 185834.0000
913.6002, 185796.6094
913.7781, 185794.1719
913.9560, 185776.1719
914.1339, 185816.8281
914.3118, 185811.1094
914.4897, 185750.3906
914.6677, 185762.3906
914.8456, 185768.0000
915.0235, 185782.5625
915.2014, 185796.1250
915.3793, 185839.5938
915.5573, 185800.8750
915.7352, 185821.0625
915.9131, 185828.5000
916.0910, 185844.1094
916.2689, 185890.6094
916.4468, 185896.8906
916.6248, 185881.6094
916.8027, 185902.6094
916.9806, 185933.8906
917.1585, 185979.9375
917.3364, 185976.9375
917.5143, 186006.5938
917.6923, 185967.8281
917.8702, 185972.2969
918.0481, 185922.5000
918.2260, 185929.1719
918.4039, 185927.8906
918.5818, 185921.2812
918.7598, 185910.4375
918.9377, 185897.2188
919.1156, 185845.1094
919.2935, 185885.5625
919.4714, 185860.4375
919.6494, 185865.2188
919.8272, 185820.3906
920.0051, 185879.2969
920.1830, 185964.8281
920.3610, 185767.5312
920.5389, 185804.7656
920.7168, 185782.6406
920.8947, 185767.9375
921.0726, 185742.7188
921.2505, 185777.0000
921.4285, 185714.3906
921.6064, 185755.0000
921.7843, 185837.3906
921.9622, 185846.1094
922.1401, 185807.8281
922.3181, 185911.5625
922.4960, 185893.5625
922.6739, 185939.2812
922.8518, 186019.1719
923.0297, 186055.1094
923.2076, 186066.7812
923.3856, 186106.0625
923.5635, 186070.1250
923.7414, 186034.1250
923.9193, 186037.9375
924.0972, 185958.9375
924.2751, 185950.4062
924.4531, 185911.0625
924.6310, 185890.0625
924.8089, 185893.3906
924.9868, 185847.1094
925.1647, 185830.7188
925.3427, 185830.3281
925.5206, 185802.7188
925.6985, 185826.2188
925.8764, 185800.9375
926.0543, 185803.5625
926.2322, 185791.6719
926.4102, 185764.1719
926.5881, 185808.8906
926.7660, 185831.8281
926.9439, 185788.9375
927.1218, 185828.7812
927.2997, 185884.9375
927.4777, 185879.1094
927.6556, 185837.6094
927.8335, 185883.0000
928.0114, 185904.6406
928.1893, 185870.1094
928.3672, 185875.0625
928.5452, 185928.5625
928.7231, 185957.0000
928.9010, 185965.6719
929.0789, 186005.8281
929.2568, 186015.4688
929.4348, 185989.2969
929.6127, 185977.1250
929.7906, 185959.3594
929.9685, 185961.8750
930.1464, 185974.0625
930.3243, 185911.7031
930.5023, 185914.2188
930.6802, 185903.3906
930.8581, 185911.2812
931.0360, 185901.1094
931.2139, 185867.9375
931.3918, 185889.8906
931.5698, 185828.8281
931.7477, 185844.4375
931.9256, 185918.7188
932.1035, 185905.4375
932.2814, 185756.8281
932.4594, 185848.9375
932.6373, 185832.8906
932.8152, 185803.0000
932.9931, 185771.8281
933.1710, 185791.0625
933.3489, 185818.7812
933.5269, 185772.9375
933.7048, 185868.8281
933.8827, 185834.7188
934.0606, 185861.2188
934.2385, 185931.1094
934.4164, 185927.8906
934.5944, 185996.8906
934.7723, 186072.6719
934.9502, 186088.1094
935.1281, 186111.1094
935.3060, 186098.5625
935.4839, 186100.7656
935.6619, 186076.2969
935.8398, 186056.6406
936.0177, 185998.9375
936.1956, 185963.9375
936.3735, 185929.8750
936.5515, 185934.2344
936.7293, 185899.2344
936.9072, 185854.0625
937.0851, 185879.7812
937.2631, 185878.6719
937.4410, 185839.7188
937.6189, 185830.4375
937.7968, 185849.2812
937.9747, 185795.4375
938.1526, 185809.3906
938.3306, 185813.5000
938.5085, 185812.6719
938.6864, 185841.3281
938.8643, 185843.0000
939.0422, 185841.5625
939.2202, 185884.5625
939.3981, 185873.8281
939.5760, 185839.5625
939.7539, 185873.8906
939.9318, 185900.7188
940.1097, 185904.3906
940.2877, 185913.3281
940.4656, 185931.2188
940.6435, 185951.0625
940.8214, 185989.4375
940.9993, 185968.6719
941.1772, 186036.5625
941.3552, 185993.7812
941.5331, 185995.8281
941.7110, 185970.6094
941.8889, 185957.1719
942.0668, 185927.1094
942.2448, 185991.3281
942.4227, 185948.7812
942.6006, 185908.5000
942.7785, 185888.5625
942.9564, 185903.9375
943.1343, 185905.4375
943.3123, 185863.6094
943.4902, 185866.1719
943.6681, 185879.6719
943.8460, 186000.6094
944.0239, 185832.0625
944.2018, 185803.9375
944.3798, 185818.0000
944.5577, 185800.8281
944.7356, 185796.7656
944.9135, 185778.1250
945.0914, 185792.7031
945.2693, 185828.9375
945.4473, 185825.8750
945.6252, 185820.8750
945.8031, 185879.7656
945.9810, 185891.0625
946.1589, 185904.0625
946.3369, 185986.1250
946.5148, 186048.5312
946.6927, 186106.7656
946.8706, 186135.8281
947.0485, 186107.7656
947.2264, 186084.2344
947.4044, 186054.6094
947.5823, 186048.6094
947.7602, 186031.2812
947.9381, 185987.1094
948.1160, 185955.7188
948.2939, 185925.1094
948.4719, 185943.6094
948.6498, 185880.3281
948.8277, 185864.1719
949.0056, 185879.0000
949.1835, 185821.6094
949.3615, 185827.5625
949.5394, 185835.3281
949.7173, 185798.8906
949.8952, 185828.1719
950.0731, 185822.4375
950.2510, 185825.1719
950.4290, 185812.0000
950.6069, 185838.2812
950.7848, 185836.3281
950.9627, 185820.9375
951.1406, 185889.8281
951.3185, 185869.0625
951.4965, 185892.0000
951.6744, 185894.7188
951.8523, 185909.2188
952.0302, 185890.9375
952.2081, 185932.9375
952.3860, 185951.3906
952.5640, 185974.0000
952.7419, 185983.8281
952.9198, 185992.6719
953.0977, 186020.2188
953.2756, 186014.7812
953.4535, 185952.4375
953.6314, 185953.7188
953.8093, 185970.4375
953.9872, 185950.1094
954.1652, 185923.9375
954.3431, 185920.0625
954.5210, 185926.5625
954.6989, 185914.1094
954.8768, 185876.2812
955.0547, 185864.9375
955.2327, 185837.0625
955.4106, 185860.3906
955.5885, 185884.1094
955.7664, 185967.3281
955.9443, 185781.1719
956.1223, 185812.8281
956.3002, 185857.3906
956.4781, 185798.7188
956.6560, 185781.0625
956.8339, 185806.3906
957.0118, 185813.6719
957.1898, 185826.1094
957.3677, 185846.3906
957.5456, 185848.2188
957.7235, 185874.8281
957.9014, 185905.4375
958.0793, 185968.1719
958.2573, 185978.8281
958.4352, 186045.2188
958.6131, 186090.7812
958.7910, 186101.5625
958.9689, 186121.0000
959.1469, 186107.5625
959.3248, 186069.0000
959.5027, 186067.0000
959.6806, 186033.8281
959.8585, 185973.8281
960.0364, 185945.3594
960.2144, 185930.2969
960.3923, 185870.7656
960.5702, 185915.2969
960.7481, 185853.3594
960.9260, 185870.8281
961.1039, 185852.2969
961.2819, 185862.4062
961.4598, 185855.7031
961.6377, 185855.2969
961.8156, 185842.8281
961.9935, 185814.9375
962.1714, 185827.4062
962.3494, 185848.9375
962.5273, 185831.1250
962.7052, 185859.3594
962.8831, 185890.7656
963.0610, 185861.5938
963.2390, 185894.8750
963.4169, 185876.7656
963.5948, 185890.9375
963.7727, 185893.7656
963.9506, 185920.0625
964.1285, 185956.8750
964.3065, 185918.5938
964.4844, 185969.2969
964.6623, 185993.0625
964.8402, 186028.5000
965.0181, 186021.1094
965.1960, 186021.3281
965.3740, 185980.7188
965.5519, 185984.5625
965.7298, 185978.8281
965.9077, 185930.8906
966.0856, 185922.8281
966.2635, 185929.3281
966.4415, 185915.3906
966.6194, 185903.7188
966.7973, 185930.8906
966.9752, 185852.3281
967.1531, 185870.8906
967.3311, 185871.3281
967.5090, 185952.2188
967.6869, 185926.1719
967.8648, 185783.3281
968.0427, 185817.7188
968.2206, 185843.7188
968.3986, 185798.3906
968.5765, 185784.8906
968.7544, 185798.7188
968.9323, 185808.5000
969.1102, 185799.3281
969.2881, 185842.2812
969.4661, 185900.0000
969.6440, 185868.4062
969.8219, 185911.2344
969.9998, 185936.9375
970.1777, 186004.7656
970.3556, 186097.8281
970.5335, 186129.4062
970.7114, 186133.0000
970.8893, 186121.2969
971.0673, 186095.5312
971.2452, 186087.7031
971.4231, 186074.7188
971.6010, 186027.0000
971.7789, 185980.5000
971.9568, 185950.6719
972.1348, 185888.3906
972.3127, 185849.6094
972.4906, 185867.5000
972.6685, 185898.8281
972.8464, 185894.8281
973.0244, 185845.3906
973.2023, 185835.1094
973.3802, 185870.0625
973.5581, 185839.6094
973.7360, 185821.6719
973.9139, 185835.6719
974.0919, 185834.0625
974.2698, 185807.2188
974.4477, 185826.1094
974.6256, 185835.6719
974.8035, 185883.7812
974.9814, 185863.3906
975.1594, 185879.1094
975.3373, 185872.8906
975.5152, 185917.0625
975.6931, 185924.3906
975.8710, 185916.2812
976.0490, 185952.1094
976.2269, 185944.3906
976.4048, 185976.0000
976.5827, 186002.5000
976.7606, 186033.0625
976.9385, 186020.8281
977.1165, 185984.7812
977.2944, 185980.6719
977.4723, 185972.2812
977.6502, 185968.7812
977.8281, 185949.1719
978.0060, 185976.7812
978.1840, 185925.3594
978.3619, 185924.6406
978.5398, 185918.8281
978.7177, 185950.0000
978.8956, 185883.3594
979.0735, 185880.4688
979.2515, 185894.3594
979.4294, 186029.2969
979.6073, 185854.9375
979.7852, 185778.7031
979.9631, 185816.5312
980.1411, 185813.2344
980.3190, 185773.2188
980.4969, 185830.8281
980.6748, 185786.5000
980.8527, 185823.6719
981.0306, 185823.3281
981.2086, 185846.7188
981.3865, 185884.1094
981.5644, 185924.4375
981.7423, 185940.1094
981.9202, 185997.9375
982.0981, 186035.3281
982.2761, 186098.8906
982.4540, 186114.7188
982.6319, 186121.5625
982.8098, 186146.2188
982.9877, 186088.6094
983.1656, 186065.8281
983.3436, 186042.3906
983.5215, 185999.8281
983.6994, 185981.0625
983.8773, 185934.4375
984.0552, 185896.5000
984.2332, 185887.7812
984.4111, 185889.1719
984.5890, 185863.6719
984.7669, 185886.1094
984.9448, 185830.3906
985.1227, 185830.6719
985.3007, 185857.4375
985.4786, 185837.7812
985.6565, 185842.5625
985.8344, 185818.3906
986.0123, 185825.3281
986.1902, 185845.9375
986.3682, 185851.7812
986.5461, 185865.3906
986.7240, 185876.9375
986.9019, 185880.2188
987.0798, 185879.7188
987.2577, 185887.6719
987.4356, 185908.3906
987.6135, 185926.8906
987.7914, 185927.8906
987.9694, 185967.9375
988.1473, 185974.5625
988.3252, 185988.6094
988.5031, 186033.7188
988.6810, 186047.1094
988.8589, 186050.2969
989.0369, 185987.5312
989.2148, 185984.8750
989.3927, 185957.5312
989.5706, 185945.9375
989.7485, 185945.7656
989.9265, 185925.8750
990.1044, 185919.4688
990.2823, 185937.0625
990.4602, 185877.4062
990.6381, 185859.1094
990.8160, 185854.2812
990.9940, 185887.5625
991.1719, 185889.6094
991.3498, 186001.2812
991.5277, 185761.2188
991.7056, 185802.0000
991.8835, 185820.1719
992.0615, 185790.7188
992.2394, 185799.1094
992.4173, 185788.5000
992.5952, 185796.7188
992.7731, 185830.2812
992.9510, 185895.6094
993.1290, 185880.5000
993.3069, 185901.6719
993.4848, 185902.2188
993.6627, 185944.8281
993.8406, 186005.0000
994.0186, 186073.6094
994.1965, 186106.0625
994.3744, 186132.8906
994.5523, 186110.0625
994.7302, 186088.6094
994.9081, 186083.1094
995.0861, 186072.0000
995.2640, 186005.3906
995.4419, 185992.3906
995.6198, 185966.4375
995.7977, 185936.3281
995.9756, 185903.3281
996.1536, 185903.0000
996.3315, 185904.2344
996.5094, 185872.6406
996.6873, 185869.1719
996.8652, 185857.9375
997.0432, 185859.2344
997.2211, 185860.1719
997.3990, 185816.2969
997.5769, 185832.7656
997.7548, 185810.2344
997.9327, 185859.2344
998.1107, 185831.0625
998.2886, 185860.4062
998.4665, 185895.8750
998.6444, 185862.2812
998.8223, 185875.2188
999.0002, 185885.7188
999.1782, 185909.3281
999.3561, 185885.0625
999.5340, 185929.8906
999.7119, 185918.2188
999.8898, 185932.2188
1000.0677, 186009.0625
1000.2457, 186006.1094
1000.4236, 186016.3906
1000.6015, 186036.7188
1000.7794, 186002.4375
1000.9573, 185994.0000
1001.1353, 185981.2188
1001.3132, 185918.0625
1001.4911, 185941.5625
1001.6690, 185965.1094
1001.8469, 185928.2812
1002.0248, 185924.6094
1002.2028, 185868.2812
1002.3807, 185886.3906
1002.5586, 185884.6094
1002.7365, 185848.6094
1002.9144, 185882.4375
1003.0923, 185948.5625
1003.2703, 185895.5000
1003.4482, 185778.2188
1003.6261, 185821.0625
1003.8040, 185791.2812
1003.9819, 185741.8281
1004.1598, 185791.5000
1004.3377, 185796.9375
1004.5156, 185805.2812
1004.6935, 185861.5625
1004.8715, 185822.6719
1005.0494, 185849.6094
1005.2273, 185892.5625
1005.4052, 185934.9375
1005.5831, 185946.6094
1005.7610, 185958.9375
1005.9390, 186075.7188
1006.1169, 186114.9375
1006.2948, 186088.7188
1006.4727, 186091.3281
1006.6506, 186120.3281
1006.8286, 186067.0625
1007.0065, 186028.5000
1007.1844, 185993.7188
1007.3623, 185952.5000
1007.5402, 185951.1094
1007.7181, 185900.3594
1007.8961, 185889.1719
1008.0740, 185892.3594
1008.2519, 185906.6406
1008.4298, 185892.6406
1008.6077, 185799.4062
1008.7856, 185835.0625
1008.9636, 185876.1719
1009.1415, 185835.5312
1009.3194, 185830.2969
1009.4973, 185795.3594
1009.6752, 185808.4688
1009.8531, 185796.6094
1010.0311, 185841.1719
1010.2090, 185852.3906
1010.3869, 185814.0625
1010.5648, 185887.7188
1010.7427, 185877.8281
1010.9207, 185867.7812
1011.0986, 185943.7812
1011.2765, 185874.7188
1011.4544, 185918.4375
1011.6323, 185951.2812
1011.8102, 185924.6094
1011.9882, 185962.5625
1012.1661, 185988.7812
1012.3440, 186012.3281
1012.5219, 186030.0000
1012.6998, 185986.7812
1012.8777, 185990.1719
1013.0557, 185949.8281
1013.2336, 185991.7188
1013.4115, 185976.6094
1013.5894, 185904.1094
1013.7673, 185900.8906
1013.9453, 185944.2188
1014.1232, 185882.2812
1014.3011, 185866.6719
1014.4790, 185873.6094
1014.6569, 185841.2812
1014.8348, 185848.7188
1015.0128, 185987.6719
1015.1907, 185864.4375
1015.3686, 185774.4375
1015.5465, 185842.3906
1015.7244, 185798.2812
1015.9023, 185786.4375
1016.0803, 185812.2188
1016.2582, 185810.6719
1016.4361, 185814.8906
1016.6140, 185858.0000
1016.7919, 185837.8906
1016.9698, 185857.7812
1017.1478, 185881.8281
1017.3257, 185935.9375
1017.5036, 185935.5625
1017.6815, 186042.6719
1017.8594, 186061.1719
1018.0374, 186087.5000
1018.2153, 186131.8281
1018.3932, 186133.2812
1018.5711, 186081.0625
1018.7490, 186047.4062
1018.9269, 186067.8750
1019.1049, 185993.7031
1019.2828, 185965.4062
1019.4607, 185907.1719
1019.6386, 185903.1719
1019.8165, 185891.1719
1019.9944, 185931.2969
1020.1724, 185864.5312
1020.3503, 185864.2344
1020.5282, 185830.1250
1020.7061, 185846.1719
1020.8840, 185807.3906
1021.0619, 185841.2188
1021.2398, 185800.5000
1021.4177, 185801.2188
1021.5956, 185806.4375
1021.7736, 185841.4375
1021.9515, 185839.0000
1022.1294, 185871.9375
1022.3073, 185887.4375
1022.4852, 185876.1719
1022.6631, 185878.7812
1022.8411, 185920.6094
1023.0190, 185895.3906
1023.1969, 185930.0625
1023.3748, 185896.5625
1023.5527, 185948.0000
1023.7307, 185957.7812
1023.9086, 185987.1094
1024.0865, 186034.1719
1024.2644, 186025.1719
1024.4424, 186004.2812
1024.6202, 186002.5000
1024.7982, 185980.9375
1024.9761, 185950.4375
1025.1541, 185903.1719
1025.3319, 185985.1250
1025.5099, 185938.6406
1025.6877, 185939.3594
1025.8657, 185933.4062
1026.0436, 185958.4062
1026.2216, 185903.8281
1026.3994, 185847.1719
1026.5774, 185863.8281
1026.7552, 185916.5625
1026.9332, 185985.5625
1027.1111, 185807.2188
1027.2891, 185853.8281
1027.4669, 185856.7812
1027.6449, 185804.3906
1027.8228, 185792.7812
1028.0007, 185819.0625
1028.1786, 185846.5000
1028.3566, 185849.7812
1028.5344, 185899.3281
1028.7124, 185908.9375
1028.8903, 185906.2188
1029.0682, 185908.0625
1029.2461, 185947.2812
1029.4240, 186011.1094
1029.6019, 186062.2812
1029.7798, 186115.4375
1029.9578, 186129.2812
1030.1356, 186115.8281
1030.3136, 186130.5000
1030.4915, 186106.2188
1030.6694, 186104.3906
1030.8473, 186076.3594
1031.0253, 186014.0000
1031.2031, 185972.0000
1031.3811, 185978.5938
1031.5590, 185946.2344
1031.7369, 185939.0000
1031.9148, 185884.5312
1032.0928, 185901.2812
1032.2706, 185909.7812
1032.4486, 185891.6719
1032.6265, 185900.9375
1032.8044, 185832.0625
1032.9823, 185868.3281
1033.1603, 185866.6094
1033.3381, 185840.2812
1033.5161, 185886.5000
1033.6940, 185862.5625
1033.8719, 185891.7188
1034.0498, 185902.5625
1034.2278, 185951.3906
1034.4056, 185929.2188
1034.5836, 185967.1719
1034.7615, 185974.7812
1034.9395, 185981.6719
1035.1173, 186038.9375
1035.2953, 186011.1719
1035.4731, 186021.9375
1035.6511, 186096.5625
1035.8290, 186038.6094
1036.0070, 186113.5000
1036.1848, 186129.8281
1036.3628, 186115.0000
1036.5406, 186042.5625
1036.7186, 186080.5312
1036.8965, 186064.7656
1037.0745, 186088.8281
1037.2523, 186062.2344
1037.4303, 186015.5938
1037.6082, 186020.0625
1037.7861, 186012.2969
1037.9640, 185975.8906
1038.1420, 186003.8906
1038.3198, 185979.6719
1038.4978, 185983.0625
1038.6757, 186077.6094
1038.8536, 186009.8281
1039.0315, 185924.8906
1039.2095, 185973.1094
1039.3873, 185976.3281
1039.5653, 185973.6094
1039.7432, 185930.2812
1039.9211, 185959.2812
1040.0990, 185949.8906
1040.2770, 185951.7812
1040.4548, 185996.4375
1040.6328, 186005.1094
1040.8107, 186034.5000
1040.9886, 186121.5625
1041.1665, 186107.9375
1041.3445, 186160.2188
1041.5223, 186257.2188
1041.7003, 186287.5625
1041.8782, 186267.4375
1042.0562, 186301.9375
1042.2340, 186254.5625
1042.4120, 186249.4375
1042.5898, 186236.8906
1042.7678, 186193.6719
1042.9457, 186160.6719
1043.1237, 186146.1719
1043.3015, 186093.4375
1043.4795, 186124.3281
1043.6573, 186061.7188
1043.8353, 186098.7188
1044.0132, 186088.0625
1044.1912, 186107.6719
1044.3690, 186046.1094
1044.5470, 186057.6094
1044.7249, 186091.3906
1044.9028, 186040.7812
1045.0807, 186066.9375
1045.2587, 186084.8750
1045.4365, 186087.4062
1045.6145, 186109.0000
1045.7924, 186148.4688
1045.9703, 186150.2344
1046.1482, 186149.4688
1046.3260, 186173.8281
1046.5040, 186189.5312
1046.6819, 186178.0625
1046.8599, 186206.4062
1047.0377, 186230.4688
1047.2157, 186250.9375
1047.3936, 186299.5938
1047.5715, 186259.3594
1047.7494, 186322.1719
1047.9274, 186321.7031
1048.1052, 186332.7812
1048.2832, 186283.6719
1048.4611, 186329.7188
1048.6390, 186265.7812
1048.8169, 186297.4375
1048.9949, 186281.3906
1049.1727, 186271.5625
1049.3507, 186265.6719
1049.5286, 186270.7188
1049.7065, 186248.4375
1049.8844, 186265.2812
1050.0624, 186242.4375
1050.2402, 186221.6719
1050.4182, 186274.3906
1050.5961, 186363.9375
1050.7740, 186229.0000
1050.9519, 186183.1094
1051.1299, 186213.1094
1051.3077, 186180.5000
1051.4857, 186208.2812
1051.6636, 186185.4375
1051.8416, 186225.7031
1052.0194, 186228.8281
1052.1974, 186258.1250
1052.3752, 186253.7656
1052.5532, 186252.8750
