

lambda, I
887.2684, 186222.2344
887.4464, 186241.5000
887.6243, 186238.2188
887.8022, 186289.3906
887.9801, 186248.7812
888.1580, 186220.5625
888.3359, 186200.3906
888.5139, 186178.1719
888.6918, 186133.1250
888.8697, 186092.6094
889.0476, 186068.7188
889.2255, 186061.5625
889.4034, 186044.6094
889.5814, 186059.0000
889.7593, 186029.2344
889.9372, 186013.0625
890.1151, 186033.0625
890.2930, 186035.7031
890.4709, 185981.0000
890.6489, 185993.6719
890.8268, 185996.8281
891.0047, 186016.0000
891.1826, 186000.2188
891.3605, 186006.6719
891.5385, 186048.0000
891.7164, 186071.5938
891.8943, 186060.0625
892.0722, 186088.2812
892.2501, 186083.2188
892.4280, 186069.8906
892.6060, 186097.0625
892.7839, 186099.3281
892.9618, 186145.7656
893.1397, 186136.9375
893.3176, 186182.3594
893.4955, 186193.7188
893.6735, 186238.7188
893.8514, 186194.0625
894.0293, 186208.4375
894.2072, 186190.5000
894.3851, 186188.9375
894.5630, 186191.4688
894.7410, 186155.4688
894.9189, 186133.3281
895.0968, 186149.0000
895.2747, 186138.2812
895.4526, 186163.1719
895.6306, 186123.2188
895.8085, 186100.7188
895.9864, 186117.1250
896.1643, 186090.4062
896.3422, 186169.8281
896.5201, 186160.3281
896.6981, 186043.5000
896.8760, 186085.7188
897.0539, 186066.6719
897.2318, 186018.0625
897.4097, 186046.2812
897.5876, 186037.8750
897.7656, 186048.1250
897.9435, 186049.7031
898.1214, 186100.8281
898.2993, 186121.3906
898.4772, 186138.1094
898.6552, 186229.3281
898.8331, 186238.5000
899.0110, 186273.3594
899.1889, 186316.6406
899.3668, 186355.1719
899.5447, 186400.2188
899.7227, 186366.5000
899.9006, 186341.9375
900.0785, 186333.6719
900.2564, 186272.7188
900.4343, 186278.2188
900.6122, 186274.4062
900.7902, 186185.5938
900.9681, 186160.3906
901.1460, 186168.8281
901.3239, 186160.5000
901.5018, 186153.5625
901.6797, 186148.5625
901.8577, 186122.1094
902.0356, 186122.9375
902.2135, 186095.8281
902.3914, 186116.4688
902.5693, 186133.6719
902.7473, 186116.1094
902.9251, 186077.5625
903.1030, 186093.6719
903.2809, 186130.0000
903.4589, 186167.4688
903.6368, 186141.7031
903.8147, 186167.1250
903.9926, 186179.0000
904.1705, 186164.9375
904.3484, 186168.2812
904.5264, 186186.0625
904.7043, 186198.9375
904.8822, 186257.8281
905.0601, 186259.2969
905.2380, 186252.9375
905.4160, 186268.6719
905.5939, 186335.2812
905.7718, 186307.8281
905.9497, 186314.5625
906.1276, 186251.3281
906.3055, 186249.5312
906.4835, 186216.2344
906.6614, 186257.3906
906.8393, 186214.6094
907.0172, 186236.1719
907.1951, 186201.8906
907.3730, 186222.2188
907.5510, 186199.5938
907.7289, 186201.2344
907.9068, 186148.5938
908.0847, 186165.0625
908.2626, 186248.3906
908.4406, 186135.5625
908.6185, 186092.1719
908.7964, 186155.7812
908.9743, 186106.7656
909.1522, 186069.4688
909.3301, 186052.1719
909.5081, 186112.5625
909.6860, 186111.0625
909.8639, 186100.1719
910.0418, 186145.1719
910.2197, 186166.5938
910.3976, 186178.4062
910.5756, 186238.1719
910.7535, 186254.2812
910.9314, 186330.2188
911.1093, 186386.0000
911.2872, 186391.3906
911.4651, 186427.7656
911.6431, 186413.8750
911.8210, 186372.9375
911.9989, 186327.8281
912.1768, 186305.0625
912.3547, 186275.0000
912.5327, 186264.7188
912.7106, 186228.0625
912.8885, 186188.2969
913.0664, 186170.1250
913.2443, 186144.7812
913.4222, 186160.7188
913.6002, 186123.2188
913.7781, 186105.4375
913.9560, 186100.7031
914.1339, 186135.2344
914.3118, 186131.5312
914.4897, 186092.0000
914.6677, 186046.4375
914.8456, 186096.4375
915.0235, 186073.1719
915.2014, 186131.3906
915.3793, 186169.4688
915.5573, 186146.6406
915.7352, 186113.2812
915.9131, 186117.3906
916.0910, 186139.5000
916.2689, 186145.6094
916.4468, 186201.7812
916.6248, 186206.1250
916.8027, 186190.7031
916.9806, 186205.2812
917.1585, 186227.3906
917.3364, 186296.8281
917.5143, 186259.1094
917.6923, 186270.5000
917.8702, 186215.6406
918.0481, 186212.4688
918.2260, 186205.2344
918.4039, 186196.0625
918.5818, 186189.0000
918.7598, 186172.0625
918.9377, 186138.3281
919.1156, 186151.2969
919.2935, 186119.0625
919.4714, 186120.1250
919.6494, 186071.0000
919.8272, 186090.2188
920.0051, 186080.8906
920.1830, 186188.3906
920.3610, 186015.5312
920.5389, 186019.5312
920.7168, 186045.1094
920.8947, 186022.3906
921.0726, 186002.2812
921.2505, 186029.6719
921.4285, 186005.7812
921.6064, 186025.1250
921.7843, 186042.1719
921.9622, 186087.9375
922.1401, 186071.1094
922.3181, 186082.4375
922.4960, 186088.9375
922.6739, 186169.5625
922.8518, 186265.2969
923.0297, 186281.4062
923.2076, 186295.0625
923.3856, 186312.3281
923.5635, 186282.1719
923.7414, 186245.7188
923.9193, 186253.7188
924.0972, 186195.4375
924.2751, 186157.2812
924.4531, 186128.2969
924.6310, 186082.3594
924.8089, 186097.6406
924.9868, 186064.5625
925.1647, 186051.0625
925.3427, 186001.7188
925.5206, 186033.7812
925.6985, 185992.3281
925.8764, 186001.9375
926.0543, 186010.5312
926.2322, 185943.0625
926.4102, 185957.5625
926.5881, 185949.1719
926.7660, 185986.3906
926.9439, 186000.1719
927.1218, 186002.3281
927.2997, 186022.4375
927.4777, 186016.9375
927.6556, 186007.5312
927.8335, 186012.0625
928.0114, 186010.7812
928.1893, 186058.9375
928.3672, 186064.2812
928.5452, 186047.5000
928.7231, 186049.8906
928.9010, 186095.5000
929.0789, 186113.9375
929.2568, 186166.5625
929.4348, 186142.9375
929.6127, 186139.0625
929.7906, 186088.4062
929.9685, 186082.2812
930.1464, 186045.6094
930.3243, 186080.7188
930.5023, 186072.8906
930.6802, 186075.4375
930.8581, 186023.6719
931.0360, 186018.3281
931.2139, 186032.8906
931.3918, 185991.5000
931.5698, 185988.1094
931.7477, 185966.1094
931.9256, 186079.2188
932.1035, 186025.8906
932.2814, 185916.6719
932.4594, 185940.8281
932.6373, 185958.2969
932.8152, 185899.0000
932.9931, 185857.7031
933.1710, 185876.5000
933.3489, 185883.2188
933.5269, 185928.3281
933.7048, 185957.7188
933.8827, 185942.3906
934.0606, 185983.1719
934.2385, 186018.4375
934.4164, 186045.4375
934.5944, 186109.2812
934.7723, 186209.8906
934.9502, 186214.9375
935.1281, 186201.8906
935.3060, 186237.7812
935.4839, 186179.2812
935.6619, 186178.0000
935.8398, 186157.0000
936.0177, 186094.3906
936.1956, 186082.5000
936.3735, 186035.7812
936.5515, 186042.6719
936.7293, 185969.3281
936.9072, 185969.0625
937.0851, 186012.5625
937.2631, 185928.8281
937.4410, 185938.4375
937.6189, 185938.2188
937.7968, 185937.5000
937.9747, 185928.1094
938.1526, 185912.8906
938.3306, 185901.4375
938.5085, 185904.0000
938.6864, 185917.7812
938.8643, 185948.0625
939.0422, 185978.5625
939.2202, 185973.2188
939.3981, 185943.5625
939.5760, 185985.1094
939.7539, 185982.6094
939.9318, 185998.3906
940.1097, 186007.3281
940.2877, 186023.5000
940.4656, 186065.6094
940.6435, 186054.8906
940.8214, 186094.5625
940.9993, 186118.1094
941.1772, 186136.4375
941.3552, 186130.7812
941.5331, 186056.3281
941.7110, 186060.3906
941.8889, 186090.4375
942.0668, 186042.6094
942.2448, 186069.2188
942.4227, 186057.2188
942.6006, 186047.2812
942.7785, 186007.8281
942.9564, 185988.3281
943.1343, 185997.8281
943.3123, 185981.7031
943.4902, 185991.9375
943.6681, 186013.5938
943.8460, 186062.5938
944.0239, 185956.2188
944.2018, 185876.2188
944.3798, 185959.2188
944.5577, 185907.7812
944.7356, 185920.7812
944.9135, 185899.1094
945.0914, 185895.3906
945.2693, 185912.4375
945.4473, 185918.2812
945.6252, 185960.1719
945.8031, 185974.4688
945.9810, 185993.1719
946.1589, 186001.0625
946.3369, 186055.0625
946.5148, 186129.0000
946.6927, 186164.8906
946.8706, 186182.2188
947.0485, 186191.1719
947.2264, 186199.2188
947.4044, 186168.1719
947.5823, 186184.1719
947.7602, 186181.3281
947.9381, 186111.7656
948.1160, 186077.7812
948.2939, 186024.7031
948.4719, 186009.2344
948.6498, 185979.5312
948.8277, 185971.2969
949.0056, 185985.1094
949.1835, 185950.8906
949.3615, 185953.8906
949.5394, 185942.2812
949.7173, 185937.5000
949.8952, 185901.7188
950.0731, 185905.6719
950.2510, 185927.3281
950.4290, 185931.5000
950.6069, 185939.0625
950.7848, 185924.6406
950.9627, 185972.0625
951.1406, 185948.9375
951.3185, 185963.7812
951.4965, 185997.8281
951.6744, 186009.3281
951.8523, 186000.9375
952.0302, 185994.2812
952.2081, 186048.1719
952.3860, 186041.5312
952.5640, 186092.3906
952.7419, 186090.1250
952.9198, 186165.5312
953.0977, 186144.6406
953.2756, 186123.2188
953.4535, 186065.1094
953.6314, 186082.5000
953.8093, 186067.2812
953.9872, 186060.3906
954.1652, 186055.2188
954.3431, 186067.3906
954.5210, 186026.9375
954.6989, 186016.4375
954.8768, 186011.7031
955.0547, 185985.3594
955.2327, 185980.7031
955.4106, 185988.5312
955.5885, 186026.3281
955.7664, 186096.7812
955.9443, 185880.4375
956.1223, 185928.4375
956.3002, 185957.5625
956.4781, 185904.4375
956.6560, 185917.5000
956.8339, 185902.7812
957.0118, 185969.4062
957.1898, 185953.9375
957.3677, 185939.9375
957.5456, 185985.6406
957.7235, 185995.0625
957.9014, 186025.5000
958.0793, 186088.9375
958.2573, 186135.7188
958.4352, 186160.0625
958.6131, 186221.0625
958.7910, 186225.6094
958.9689, 186278.5312
959.1469, 186278.2344
959.3248, 186210.7031
959.5027, 186200.8750
959.6806, 186155.0625
959.8585, 186131.6094
960.0364, 186064.5000
960.2144, 186047.5625
960.3923, 186034.8281
960.5702, 185982.6094
960.7481, 185995.8281
960.9260, 185994.9375
961.1039, 185979.0625
961.2819, 185949.7031
961.4598, 185976.3281
961.6377, 185954.3281
961.8156, 185955.3281
961.9935, 185968.9375
962.1714, 185932.4375
962.3494, 185969.2812
962.5273, 185979.7812
962.7052, 185994.0000
962.8831, 186019.0000
963.0610, 186035.3594
963.2390, 186004.2344
963.4169, 186027.3594
963.5948, 186017.5625
963.7727, 186051.5000
963.9506, 186068.6094
964.1285, 186093.1719
964.3065, 186028.3906
964.4844, 186105.8281
964.6623, 186115.0625
964.8402, 186190.7188
965.0181, 186192.0625
965.1960, 186129.8750
965.3740, 186130.1719
965.5519, 186097.4375
965.7298, 186098.8906
965.9077, 186095.4375
966.0856, 186076.2188
966.2635, 186070.1094
966.4415, 186046.1719
966.6194, 186040.4375
966.7973, 186039.9375
966.9752, 186004.7656
967.1531, 186010.7656
967.3311, 186014.6719
967.5090, 186077.5000
967.6869, 186071.3281
967.8648, 185917.8906
968.0427, 185986.6094
968.2206, 185973.8281
968.3986, 185899.7812
968.5765, 185962.1250
968.7544, 185940.5312
968.9323, 185924.7031
969.1102, 185923.1094
969.2881, 185967.6094
969.4661, 186001.8281
969.6440, 186015.5625
969.8219, 186036.4375
969.9998, 186069.0000
970.1777, 186179.5625
970.3556, 186217.7656
970.5335, 186229.5938
970.7114, 186258.7656
970.8893, 186250.7812
971.0673, 186228.0625
971.2452, 186231.7188
971.4231, 186233.3906
971.6010, 186151.7812
971.7789, 186078.8906
971.9568, 186096.3281
972.1348, 186091.5938
972.3127, 186039.2344
972.4906, 186006.5000
972.6685, 186019.5625
972.8464, 185997.5000
973.0244, 186039.2188
973.2023, 185983.8281
973.3802, 185971.6719
973.5581, 185969.0625
973.7360, 185980.0625
973.9139, 185981.9375
974.0919, 185964.5938
974.2698, 185951.4688
974.4477, 186020.6094
974.6256, 186019.0000
974.8035, 186041.1094
974.9814, 186031.9375
975.1594, 186011.1719
975.3373, 185997.6719
975.5152, 186043.2812
975.6931, 186078.1094
975.8710, 186084.5938
976.0490, 186107.0625
976.2269, 186094.6406
976.4048, 186133.2812
976.5827, 186144.1719
976.7606, 186173.6094
976.9385, 186174.5625
977.1165, 186109.3906
977.2944, 186121.5000
977.4723, 186132.7812
977.6502, 186120.2969
977.8281, 186102.0000
978.0060, 186066.4688
978.1840, 186037.5000
978.3619, 186038.3906
978.5398, 186071.8906
978.7177, 186016.6719
978.8956, 186032.3906
979.0735, 186022.1719
979.2515, 186038.7188
979.4294, 186140.8281
979.6073, 185964.9375
979.7852, 185948.2344
979.9631, 185988.4688
980.1411, 185993.2812
980.3190, 185917.1094
980.4969, 185944.3281
980.6748, 185972.3281
980.8527, 185951.8906
981.0306, 185985.1719
981.2086, 186004.1094
981.3865, 186008.7188
981.5644, 186078.0625
981.7423, 186076.5938
981.9202, 186121.0000
982.0981, 186162.8906
982.2761, 186239.4375
982.4540, 186265.4375
982.6319, 186280.0625
982.8098, 186255.6719
982.9877, 186218.2188
983.1656, 186234.8750
983.3436, 186187.2344
983.5215, 186149.1250
983.6994, 186113.5625
983.8773, 186083.8281
984.0552, 186054.7812
984.2332, 186043.5000
984.4111, 186038.2188
984.5890, 186026.2188
984.7669, 186023.7812
984.9448, 186041.5312
985.1227, 185947.5938
985.3007, 185959.0000
985.4786, 185970.4375
985.6565, 185979.5625
985.8344, 185961.4375
986.0123, 185950.7812
986.1902, 185974.5625
986.3682, 186024.4688
986.5461, 186020.1719
986.7240, 185996.7656
986.9019, 186029.7812
987.0798, 186033.4375
987.2577, 186048.1719
987.4356, 186058.2188
987.6135, 186056.8281
987.7914, 186095.0625
987.9694, 186093.0625
988.1473, 186112.1719
988.3252, 186118.4688
988.5031, 186121.5625
988.6810, 186160.2812
988.8589, 186159.8906
989.0369, 186144.7812
989.2148, 186133.0000
989.3927, 186113.2188
989.5706, 186097.0000
989.7485, 186104.1719
989.9265, 186069.6406
990.1044, 186055.5625
990.2823, 186065.3281
990.4602, 186036.4375
990.6381, 186012.2812
990.8160, 186013.3906
990.9940, 186022.4375
991.1719, 186048.1094
991.3498, 186123.3594
991.5277, 185948.0625
991.7056, 185978.4062
991.8835, 186006.3906
992.0615, 185938.9375
992.2394, 185920.6719
992.4173, 185939.3906
992.5952, 185943.1719
992.7731, 185921.0625
992.9510, 185965.7031
993.1290, 186002.2344
993.3069, 186026.7031
993.4848, 186041.3906
993.6627, 186082.5625
993.8406, 186127.3281
994.0186, 186222.3281
994.1965, 186249.6719
994.3744, 186264.6719
994.5523, 186259.6406
994.7302, 186242.5938
994.9081, 186193.2812
995.0861, 186173.7812
995.2640, 186180.6719
995.4419, 186143.0000
995.6198, 186094.3281
995.7977, 186085.1094
995.9756, 186028.8281
996.1536, 185991.1250
996.3315, 186038.4062
996.5094, 185989.1094
996.6873, 185967.8281
996.8652, 185977.5625
997.0432, 185988.6094
997.2211, 185995.2812
997.3990, 185937.0000
997.5769, 185937.6406
997.7548, 185953.7031
997.9327, 185941.8281
998.1107, 185962.7188
998.2886, 186010.3906
998.4665, 186007.6094
998.6444, 186034.8281
998.8223, 186002.9375
999.0002, 186032.0000
999.1782, 186013.7031
999.3561, 186061.4688
999.5340, 186056.7188
999.7119, 186085.1094
999.8898, 186072.6094
1000.0677, 186099.3281
1000.2457, 186151.2812
1000.4236, 186123.0625
1000.6015, 186137.1719
1000.7794, 186119.1250
1000.9573, 186138.3594
1001.1353, 186093.0625
1001.3132, 186062.8906
1001.4911, 186096.7188
1001.6690, 186033.5000
1001.8469, 186063.2812
1002.0248, 186013.8281
1002.2028, 186037.8281
1002.3807, 186015.2969
1002.5586, 186028.8281
1002.7365, 186017.9375
1002.9144, 185974.1719
1003.0923, 186056.3906
1003.2703, 186025.5625
1003.4482, 185894.0625
1003.6261, 185981.5938
1003.8040, 185947.8750
1003.9819, 185906.5938
1004.1598, 185926.7812
1004.3377, 185955.1719
1004.5156, 185896.7812
1004.6935, 185926.6719
1004.8715, 185936.9375
1005.0494, 185983.5938
1005.2273, 186005.7656
1005.4052, 185998.4062
1005.5831, 186059.8906
1005.7610, 186099.3906
1005.9390, 186150.4375
1006.1169, 186246.8281
1006.2948, 186219.5938
1006.4727, 186239.8281
1006.6506, 186213.3594
1006.8286, 186178.9375
1007.0065, 186167.5625
1007.1844, 186137.1094
1007.3623, 186069.2812
1007.5402, 186034.6094
1007.7181, 186037.1094
1007.8961, 186012.1250
1008.0740, 185987.5938
1008.2519, 185969.4062
1008.4298, 185978.7812
1008.6077, 185947.6719
1008.7856, 185950.6094
1008.9636, 185926.9375
1009.1415, 185965.0625
1009.3194, 185965.8906
1009.4973, 185923.9375
1009.6752, 185921.0625
1009.8531, 185929.5000
1010.0311, 185937.1094
1010.2090, 185917.9375
1010.3869, 185956.3281
1010.5648, 185989.0625
1010.7427, 185995.0625
1010.9207, 186000.0000
1011.0986, 186025.0625
1011.2765, 186021.7656
1011.4544, 186006.3281
1011.6323, 186047.1719
1011.8102, 186077.5625
1011.9882, 186086.9375
1012.1661, 186136.3281
1012.3440, 186140.6719
1012.5219, 186113.3594
1012.6998, 186112.8281
1012.8777, 186086.4062
1013.0557, 186069.1719
1013.2336, 186039.9375
1013.4115, 186036.6094
1013.5894, 185999.7188
1013.7673, 186044.7812
1013.9453, 186047.1719
1014.1232, 186010.0625
1014.3011, 185986.3906
1014.4790, 185976.1094
1014.6569, 186001.6094
1014.8348, 185973.3281
1015.0128, 186072.7812
1015.1907, 185893.7656
1015.3686, 185900.0000
1015.5465, 185966.0625
1015.7244, 185907.4375
1015.9023, 185903.2812
1016.0803, 185885.7812
1016.2582, 185909.6094
1016.4361, 185880.9375
1016.6140, 185932.8281
1016.7919, 185962.0000
1016.9698, 185979.7656
1017.1478, 186010.9375
1017.3257, 186018.3594
1017.5036, 186076.3281
1017.6815, 186146.3906
1017.8594, 186195.5000
1018.0374, 186191.5000
1018.2153, 186195.2812
1018.3932, 186207.5000
1018.5711, 186189.5938
1018.7490, 186150.4062
1018.9269, 186129.5000
1019.1049, 186100.0000
1019.2828, 186081.1719
1019.4607, 186033.8906
1019.6386, 186005.5625
1019.8165, 185990.8281
1019.9944, 185982.5625
1020.1724, 185971.5312
1020.3503, 185981.1250
1020.5282, 185913.2969
1020.7061, 185912.4375
1020.8840, 185940.1094
1021.0619, 185905.4375
1021.2398, 185941.3281
1021.4177, 185927.0000
1021.5956, 185907.0625
1021.7736, 185915.9375
1021.9515, 185891.0000
1022.1294, 185974.5000
1022.3073, 185962.3281
1022.4852, 185945.2812
1022.6631, 185951.4375
1022.8411, 185973.6719
1023.0190, 185996.1719
1023.1969, 186000.0625
1023.3748, 186021.0000
1023.5527, 186035.6719
1023.7307, 186093.5000
1023.9086, 186074.1719
1024.0865, 186093.5000
1024.2644, 186133.0625
1024.4424, 186084.4375
1024.6202, 186071.0625
1024.7982, 186097.8750
1024.9761, 186076.0000
1025.1541, 186015.7656
1025.3319, 186064.5000
1025.5099, 186042.7812
1025.6877, 186000.8281
1025.8657, 186003.1094
1026.0436, 185999.1094
1026.2216, 185980.6719
1026.3994, 185971.5000
1026.5774, 185934.0625
1026.7552, 186019.4375
1026.9332, 186078.5938
1027.1111, 185896.0625
1027.2891, 185942.0000
1027.4669, 185919.1250
1027.6449, 185893.7188
1027.8228, 185905.5625
1028.0007, 185929.3281
1028.1786, 185900.3281
1028.3566, 185933.1094
1028.5344, 185942.1719
1028.7124, 185996.0625
1028.8903, 185974.6406
1029.0682, 185993.1719
1029.2461, 186016.1094
1029.4240, 186126.3906
1029.6019, 186136.0000
1029.7798, 186200.6094
1029.9578, 186186.7188
1030.1356, 186234.7656
1030.3136, 186194.0625
1030.4915, 186193.8750
1030.6694, 186154.0000
1030.8473, 186161.2188
1031.0253, 186102.5000
1031.2031, 186061.5625
1031.3811, 186042.7188
1031.5590, 186047.5938
1031.7369, 185993.2344
1031.9148, 185974.9375
1032.0928, 186001.7188
1032.2706, 185988.1719
1032.4486, 185967.6719
1032.6265, 185963.3906
1032.8044, 185946.9375
1032.9823, 185966.0625
1033.1603, 186000.0000
1033.3381, 185948.1719
1033.5161, 185928.5000
1033.6940, 185961.1094
1033.8719, 185996.7188
1034.0498, 186007.5000
1034.2278, 186044.3281
1034.4056, 186025.0000
1034.5836, 186013.1719
1034.7615, 186015.5000
1034.9395, 186032.1719
1035.1173, 186065.5000
1035.2953, 186096.9375
1035.4731, 186111.1719
1035.6511, 186124.1719
1035.8290, 186152.4062
1036.0070, 186173.5312
1036.1848, 186210.2344
1036.3628, 186148.8906
1036.5406, 186150.9375
1036.7186, 186129.5000
1036.8965, 186123.6719
1037.0745, 186115.8906
1037.2523, 186116.7656
1037.4303, 186113.4688
1037.6082, 186083.2344
1037.7861, 186084.1719
1037.9640, 186090.2188
1038.1420, 186084.5625
1038.3198, 186100.3281
1038.4978, 186065.2812
1038.6757, 186157.0000
1038.8536, 186121.1094
1039.0315, 186024.7031
1039.2095, 186071.1719
1039.3873, 186050.1719
1039.5653, 186038.1094
1039.7432, 186050.5000
1039.9211, 186058.0625
1040.0990, 186071.0625
1040.2770, 186112.1094
1040.4548, 186169.8750
1040.6328, 186194.1250
1040.8107, 186217.4062
1040.9886, 186284.7812
1041.1665, 186315.2188
1041.3445, 186376.0625
1041.5223, 186441.5000
1041.7003, 186508.3906
1041.8782, 186523.0625
1042.0562, 186545.7031
1042.2340, 186512.8281
1042.4120, 186543.8281
1042.5898, 186538.4375
1042.7678, 186525.2812
1042.9457, 186490.5625
1043.1237, 186460.2188
1043.3015, 186476.5000
1043.4795, 186453.4375
1043.6573, 186466.0625
1043.8353, 186489.7656
1044.0132, 186507.4375
1044.1912, 186491.8906
1044.3690, 186492.6719
1044.5470, 186520.0000
1044.7249, 186540.2812
1044.9028, 186570.2812
1045.0807, 186575.6406
1045.2587, 186610.7031
1045.4365, 186623.4375
1045.6145, 186660.6719
1045.7924, 186716.3906
1045.9703, 186755.6094
1046.1482, 186741.8281
1046.3260, 186764.2812
1046.5040, 186848.3594
1046.6819, 186879.4062
1046.8599, 186876.5312
1047.0377, 186946.8906
1047.2157, 186999.8906
1047.3936, 187000.1719
1047.5715, 187064.6719
1047.7494, 187087.3281
1047.9274, 187172.5938
1048.1052, 187149.1719
1048.2832, 187142.7188
1048.4611, 187157.1719
1048.6390, 187207.0000
1048.8169, 187238.4375
1048.9949, 187231.8906
1049.1727, 187271.1250
1049.3507, 187255.7031
1049.5286, 187280.5938
1049.7065, 187294.8906
1049.8844, 187323.8281
1050.0624, 187394.6094
1050.2402, 187379.0000
1050.4182, 187441.8906
1050.5961, 187609.9375
1050.7740, 187469.4688
1050.9519, 187503.0000
1051.1299, 187574.6719
1051.3077, 187631.2188
1051.4857, 187606.0000
1051.6636, 187648.7188
1051.8416, 187721.2812
1052.0194, 187771.6094
1052.1974, 187845.2969
1052.3752, 187946.2969
1052.5532, 187978.0000
