

lambda, I
905.4160, 186320.2812
905.5939, 186339.5000
905.7718, 186321.7188
905.9497, 186298.5000
906.1276, 186283.6719
906.3055, 186297.4688
906.4835, 186280.8750
906.6614, 186254.7031
906.8393, 186234.1250
907.0172, 186243.0625
907.1951, 186199.0000
907.3730, 186195.1719
907.5510, 186169.2812
907.7289, 186186.7188
907.9068, 186162.7188
908.0847, 186151.8281
908.2626, 186264.6719
908.4406, 186123.8906
908.6185, 186089.6094
908.7964, 186144.7188
908.9743, 186090.6719
909.1522, 186075.9375
909.3301, 186073.2188
909.5081, 186099.2969
909.6860, 186119.6406
909.8639, 186142.0000
910.0418, 186134.9375
910.2197, 186135.7031
910.3976, 186205.2188
910.5756, 186197.3281
910.7535, 186249.2812
910.9314, 186299.7812
911.1093, 186373.7188
911.2872, 186336.0000
911.4651, 186374.9375
911.6431, 186382.3906
911.8210, 186335.4375
911.9989, 186341.7812
912.1768, 186318.5625
912.3547, 186236.0625
912.5327, 186252.0000
912.7106, 186203.0000
912.8885, 186195.5625
913.0664, 186195.5938
913.2443, 186132.8281
913.4222, 186140.3594
913.6002, 186129.1719
913.7781, 186114.4375
913.9560, 186116.5000
914.1339, 186122.1094
914.3118, 186133.8906
914.4897, 186094.9375
914.6677, 186093.3281
914.8456, 186062.2188
915.0235, 186063.3906
915.2014, 186122.5000
915.3793, 186163.9375
915.5573, 186141.1719
915.7352, 186172.4062
915.9131, 186142.1719
916.0910, 186169.8281
916.2689, 186165.8750
916.4468, 186198.1094
916.6248, 186205.1094
916.8027, 186239.5000
916.9806, 186262.8906
917.1585, 186225.9375
917.3364, 186293.6719
917.5143, 186310.0000
917.6923, 186260.4375
917.8702, 186254.1719
918.0481, 186233.9375
918.2260, 186242.5938
918.4039, 186203.8281
918.5818, 186191.5312
918.7598, 186171.7656
918.9377, 186177.1719
919.1156, 186171.6719
919.2935, 186154.2188
919.4714, 186143.1719
919.6494, 186119.8906
919.8272, 186116.8906
920.0051, 186169.3281
920.1830, 186232.6094
920.3610, 186041.0000
920.5389, 186065.6719
920.7168, 186100.0000
920.8947, 186058.3906
921.0726, 186049.7656
921.2505, 186041.9375
921.4285, 186099.1719
921.6064, 186063.2969
921.7843, 186089.4375
921.9622, 186131.5000
922.1401, 186175.4375
922.3181, 186205.6719
922.4960, 186212.7188
922.6739, 186267.8906
922.8518, 186315.1719
923.0297, 186387.1719
923.2076, 186375.3906
923.3856, 186450.4375
923.5635, 186404.7188
923.7414, 186357.2969
923.9193, 186367.2344
924.0972, 186377.8281
924.2751, 186288.5000
924.4531, 186244.2188
924.6310, 186234.8906
924.8089, 186220.6094
924.9868, 186226.5625
925.1647, 186247.5625
925.3427, 186207.8906
925.5206, 186218.0625
925.6985, 186181.6719
925.8764, 186167.3594
926.0543, 186211.1719
926.2322, 186185.4688
926.4102, 186211.1094
926.5881, 186226.7812
926.7660, 186198.6094
926.9439, 186211.2812
927.1218, 186232.9375
927.2997, 186262.6094
927.4777, 186269.1094
927.6556, 186260.8906
927.8335, 186300.5938
928.0114, 186330.3594
928.1893, 186341.1719
928.3672, 186356.5625
928.5452, 186397.0000
928.7231, 186402.6094
928.9010, 186438.7812
929.0789, 186465.3906
929.2568, 186495.0625
929.4348, 186503.8906
929.6127, 186476.0625
929.7906, 186471.4375
929.9685, 186487.6406
930.1464, 186489.5938
930.3243, 186497.0000
930.5023, 186464.5312
930.6802, 186490.7188
930.8581, 186443.0625
931.0360, 186473.4375
931.2139, 186458.2812
931.3918, 186499.3906
931.5698, 186457.3281
931.7477, 186497.7188
931.9256, 186581.2812
932.1035, 186535.1719
932.2814, 186450.0000
932.4594, 186483.6406
932.6373, 186526.4062
932.8152, 186439.1719
932.9931, 186449.2188
933.1710, 186489.0625
933.3489, 186500.0625
933.5269, 186551.2188
933.7048, 186583.2188
933.8827, 186622.3281
934.0606, 186651.4375
934.2385, 186694.0000
934.4164, 186751.6719
934.5944, 186754.5000
934.7723, 186844.9375
934.9502, 186869.2344
935.1281, 186911.2969
935.3060, 186935.7656
935.4839, 186932.6094
935.6619, 186927.7812
935.8398, 186881.5000
936.0177, 186885.0625
936.1956, 186847.5625
936.3735, 186829.9375
936.5515, 186798.5000
936.7293, 186807.2188
936.9072, 186821.4062
937.0851, 186822.5938
937.2631, 186805.0625
937.4410, 186771.5312
937.6189, 186779.8906
937.7968, 186798.7812
937.9747, 186793.9375
938.1526, 186819.0625
938.3306, 186799.8906
938.5085, 186858.1094
938.6864, 186848.5000
938.8643, 186843.0625
939.0422, 186924.6406
939.2202, 186925.2344
939.3981, 186919.9375
939.5760, 186915.4375
939.7539, 186954.3906
939.9318, 186936.2812
940.1097, 186963.8281
940.2877, 187013.2188
940.4656, 187014.6719
940.6435, 187038.0000
940.8214, 187074.7812
940.9993, 187109.7656
941.1772, 187095.5938
941.3552, 187091.9375
941.5331, 187077.6094
941.7110, 187089.1719
941.8889, 187103.8906
942.0668, 187071.3281
942.2448, 187045.7812
942.4227, 187038.8281
942.6006, 187039.5000
942.7785, 187029.0625
942.9564, 187064.4062
943.1343, 187001.7031
943.3123, 186982.7031
943.4902, 186990.5000
943.6681, 186997.6094
943.8460, 187128.0625
944.0239, 187016.9375
944.2018, 186916.0625
944.3798, 186964.7812
944.5577, 186951.5000
944.7356, 186931.7031
944.9135, 186972.7656
945.0914, 186948.7031
945.2693, 186924.0000
945.4473, 186952.7188
945.6252, 187005.0000
945.8031, 187003.5625
945.9810, 187030.6094
946.1589, 187096.9375
946.3369, 187112.7812
946.5148, 187185.6719
946.6927, 187218.2188
946.8706, 187218.5625
947.0485, 187296.4062
947.2264, 187253.9375
947.4044, 187205.0625
947.5823, 187206.3906
947.7602, 187157.3281
947.9381, 187142.7812
948.1160, 187062.4375
948.2939, 187031.2188
948.4719, 186975.9375
948.6498, 186988.7188
948.8277, 186963.5625
949.0056, 186910.7031
949.1835, 186943.2969
949.3615, 186897.0000
949.5394, 186820.5312
949.7173, 186860.5000
949.8952, 186869.2812
950.0731, 186855.4375
950.2510, 186845.1094
950.4290, 186823.7188
950.6069, 186792.5625
950.7848, 186810.0625
950.9627, 186840.7031
951.1406, 186809.5938
951.3185, 186830.7656
951.4965, 186812.1719
951.6744, 186823.7188
951.8523, 186806.7812
952.0302, 186813.9375
952.2081, 186788.5625
952.3860, 186811.4375
952.5640, 186834.8906
952.7419, 186831.8906
952.9198, 186865.1250
953.0977, 186887.8750
953.2756, 186801.4062
953.4535, 186779.6719
953.6314, 186779.1719
953.8093, 186749.7188
953.9872, 186708.6719
954.1652, 186698.5000
954.3431, 186683.0000
954.5210, 186666.2812
954.6989, 186667.0625
954.8768, 186619.8750
955.0547, 186592.1094
955.2327, 186597.0000
955.4106, 186553.0000
955.5885, 186572.7812
955.7664, 186647.7812
955.9443, 186474.6094
956.1223, 186497.0000
956.3002, 186496.0625
956.4781, 186446.7031
956.6560, 186401.1719
956.8339, 186403.6719
957.0118, 186429.7188
957.1898, 186407.8906
957.3677, 186413.4375
957.5456, 186440.2188
957.7235, 186449.2188
957.9014, 186499.0625
958.0793, 186468.8750
958.2573, 186536.5312
958.4352, 186566.6406
958.6131, 186648.8281
958.7910, 186652.2188
958.9689, 186640.4375
959.1469, 186619.8906
959.3248, 186595.9375
959.5027, 186588.0625
959.6806, 186546.2969
959.8585, 186490.8750
960.0364, 186416.0625
960.2144, 186430.5000
960.3923, 186387.8906
960.5702, 186316.0625
960.7481, 186369.1094
960.9260, 186346.3906
961.1039, 186309.3594
961.2819, 186270.6719
961.4598, 186292.7031
961.6377, 186271.4688
961.8156, 186245.7812
961.9935, 186242.6094
962.1714, 186218.5000
962.3494, 186219.1719
962.5273, 186232.6719
962.7052, 186276.2188
962.8831, 186293.8906
963.0610, 186281.9375
963.2390, 186272.8281
963.4169, 186260.4062
963.5948, 186248.5625
963.7727, 186290.7812
963.9506, 186284.7812
964.1285, 186325.2188
964.3065, 186327.6094
964.4844, 186343.6719
964.6623, 186381.9375
964.8402, 186404.4688
965.0181, 186384.5938
965.1960, 186351.5625
965.3740, 186287.1094
965.5519, 186285.7188
965.7298, 186281.6719
965.9077, 186273.3281
966.0856, 186259.1094
966.2635, 186224.5312
966.4415, 186241.7031
966.6194, 186236.5938
966.7973, 186209.6719
966.9752, 186171.1094
967.1531, 186145.2188
967.3311, 186121.0625
967.5090, 186282.1094
967.6869, 186230.1719
967.8648, 186089.5938
968.0427, 186128.4062
968.2206, 186136.5625
968.3986, 186084.7812
968.5765, 186072.3281
968.7544, 186066.7812
968.9323, 186133.2812
969.1102, 186120.3906
969.2881, 186158.0000
969.4661, 186172.8750
969.6440, 186185.1719
969.8219, 186219.5625
969.9998, 186246.1719
970.1777, 186329.1719
970.3556, 186366.7812
970.5335, 186380.8281
970.7114, 186431.1719
970.8893, 186436.3594
971.0673, 186357.7031
971.2452, 186377.5625
971.4231, 186366.1719
971.6010, 186365.8281
971.7789, 186259.6094
971.9568, 186249.2812
972.1348, 186222.0625
972.3127, 186222.1250
972.4906, 186229.7656
972.6685, 186193.3594
972.8464, 186154.6094
973.0244, 186141.3906
973.2023, 186136.9375
973.3802, 186152.2188
973.5581, 186147.2188
973.7360, 186141.5625
973.9139, 186119.7656
974.0919, 186128.0625
974.2698, 186119.7031
974.4477, 186116.4375
974.6256, 186130.5625
974.8035, 186162.3906
974.9814, 186172.5625
975.1594, 186167.2188
975.3373, 186170.5625
975.5152, 186211.5938
975.6931, 186205.1250
975.8710, 186209.7656
976.0490, 186247.2188
976.2269, 186249.3906
976.4048, 186302.3281
976.5827, 186312.1094
976.7606, 186360.7812
976.9385, 186295.5000
977.1165, 186289.7656
977.2944, 186277.0625
977.4723, 186260.7812
977.6502, 186262.2188
977.8281, 186257.4375
978.0060, 186229.3281
978.1840, 186231.5000
978.3619, 186239.3906
978.5398, 186208.5312
978.7177, 186224.7656
978.8956, 186151.6406
979.0735, 186148.5000
979.2515, 186157.5000
979.4294, 186293.8906
979.6073, 186161.9375
979.7852, 186111.5000
979.9631, 186147.8281
980.1411, 186106.4062
980.3190, 186085.0625
980.4969, 186058.4062
980.6748, 186075.7188
980.8527, 186101.9375
981.0306, 186117.8281
981.2086, 186127.1719
981.3865, 186155.3281
981.5644, 186209.6094
981.7423, 186230.1719
981.9202, 186258.1250
982.0981, 186293.8750
982.2761, 186389.6719
982.4540, 186395.6719
982.6319, 186396.1094
982.8098, 186416.2812
982.9877, 186394.2188
983.1656, 186375.3906
983.3436, 186341.3906
983.5215, 186287.3594
983.6994, 186260.2344
983.8773, 186190.8281
984.0552, 186194.1094
984.2332, 186174.3281
984.4111, 186171.7188
984.5890, 186181.6719
984.7669, 186157.9375
984.9448, 186128.3281
985.1227, 186151.2188
985.3007, 186141.6406
985.4786, 186102.4688
985.6565, 186126.7656
985.8344, 186111.5000
986.0123, 186067.3281
986.1902, 186078.4375
986.3682, 186138.1719
986.5461, 186153.2812
986.7240, 186187.2188
986.9019, 186177.1250
987.0798, 186165.2969
987.2577, 186160.2969
987.4356, 186215.1719
987.6135, 186194.9375
987.7914, 186208.4375
987.9694, 186209.7188
988.1473, 186279.5000
988.3252, 186281.4375
988.5031, 186297.8281
988.6810, 186316.5938
988.8589, 186337.6719
989.0369, 186247.2812
989.2148, 186253.2812
989.3927, 186272.9375
989.5706, 186211.6719
989.7485, 186214.8906
989.9265, 186225.7188
990.1044, 186207.7031
990.2823, 186202.6406
990.4602, 186182.4062
990.6381, 186161.8906
990.8160, 186184.3906
990.9940, 186144.0625
991.1719, 186206.3906
991.3498, 186271.2812
991.5277, 186074.0000
991.7056, 186132.8281
991.8835, 186105.5938
992.0615, 186076.8906
992.2394, 186101.1094
992.4173, 186040.3906
992.5952, 186086.3281
992.7731, 186091.1719
992.9510, 186132.3594
993.1290, 186164.7031
993.3069, 186164.9375
993.4848, 186180.8906
993.6627, 186217.8906
993.8406, 186268.4375
994.0186, 186291.5625
994.1965, 186320.7812
994.3744, 186426.0000
994.5523, 186443.1719
994.7302, 186331.9375
994.9081, 186329.1719
995.0861, 186312.8281
995.2640, 186297.5000
995.4419, 186255.6719
995.6198, 186226.2344
995.7977, 186211.1719
995.9756, 186189.8750
996.1536, 186155.5938
996.3315, 186122.3906
996.5094, 186129.6094
996.6873, 186132.5000
996.8652, 186102.0625
997.0432, 186103.2188
997.2211, 186118.1094
997.3990, 186105.1719
997.5769, 186117.5312
997.7548, 186109.7031
997.9327, 186046.4375
998.1107, 186122.3281
998.2886, 186139.0000
998.4665, 186156.2188
998.6444, 186108.7812
998.8223, 186190.6719
999.0002, 186158.4062
999.1782, 186176.5312
999.3561, 186185.6094
999.5340, 186183.0000
999.7119, 186186.7812
999.8898, 186221.8906
1000.0677, 186230.0625
1000.2457, 186279.2812
1000.4236, 186295.0625
1000.6015, 186312.8750
1000.7794, 186251.5312
1000.9573, 186276.0625
1001.1353, 186217.0000
1001.3132, 186247.0000
1001.4911, 186209.2812
1001.6690, 186173.7188
1001.8469, 186186.6406
1002.0248, 186196.7031
1002.2028, 186188.9375
1002.3807, 186147.1094
1002.5586, 186157.5000
1002.7365, 186113.8281
1002.9144, 186101.4375
1003.0923, 186198.6094
1003.2703, 186193.5938
1003.4482, 186092.8281
1003.6261, 186096.6406
1003.8040, 186056.7188
1003.9819, 186048.1719
1004.1598, 186052.8906
1004.3377, 186078.4375
1004.5156, 186052.8281
1004.6935, 186086.1250
1004.8715, 186135.8750
1005.0494, 186147.3594
1005.2273, 186183.8281
1005.4052, 186216.5625
1005.5831, 186218.1094
1005.7610, 186247.7188
1005.9390, 186334.3281
1006.1169, 186350.7812
1006.2948, 186428.7031
1006.4727, 186390.4062
1006.6506, 186370.2344
1006.8286, 186308.9375
1007.0065, 186344.8281
1007.1844, 186289.8281
1007.3623, 186208.2188
1007.5402, 186182.9375
1007.7181, 186172.6719
1007.8961, 186152.7031
1008.0740, 186115.7656
1008.2519, 186119.1094
1008.4298, 186111.5000
1008.6077, 186094.7188
1008.7856, 186095.3281
1008.9636, 186106.1719
1009.1415, 186078.0000
1009.3194, 186113.8750
1009.4973, 186071.7656
1009.6752, 186094.8281
1009.8531, 186061.4375
1010.0311, 186060.3906
1010.2090, 186095.8906
1010.3869, 186130.1094
1010.5648, 186153.7031
1010.7427, 186149.5938
1010.9207, 186160.1719
1011.0986, 186147.4062
1011.2765, 186147.7188
1011.4544, 186181.7812
1011.6323, 186224.0625
1011.8102, 186225.8281
1011.9882, 186221.3906
1012.1661, 186242.7188
1012.3440, 186287.5938
1012.5219, 186275.8750
1012.6998, 186286.0625
1012.8777, 186222.1094
1013.0557, 186204.6094
1013.2336, 186204.0625
1013.4115, 186206.3281
1013.5894, 186200.6719
1013.7673, 186174.7188
1013.9453, 186190.0000
1014.1232, 186187.6406
1014.3011, 186117.0625
1014.4790, 186163.8906
1014.6569, 186115.6094
1014.8348, 186139.6719
1015.0128, 186242.0000
1015.1907, 186109.8906
1015.3686, 186079.6719
1015.5465, 186143.2344
1015.7244, 186072.5938
1015.9023, 186047.0000
1016.0803, 186036.3281
1016.2582, 186082.5000
1016.4361, 186059.3281
1016.6140, 186092.0000
1016.7919, 186135.4375
1016.9698, 186152.3594
1017.1478, 186158.5312
1017.3257, 186144.8750
1017.5036, 186217.8281
1017.6815, 186262.6719
1017.8594, 186360.7812
1018.0374, 186361.6094
1018.2153, 186375.8906
1018.3932, 186388.7812
1018.5711, 186339.4688
1018.7490, 186328.1250
1018.9269, 186287.2344
1019.1049, 186262.7188
1019.2828, 186206.2188
1019.4607, 186176.1719
1019.6386, 186169.7812
1019.8165, 186129.1094
1019.9944, 186138.2812
1020.1724, 186161.6406
1020.3503, 186109.9375
1020.5282, 186090.8281
1020.7061, 186059.3906
1020.8840, 186088.3281
1021.0619, 186085.8906
1021.2398, 186057.6094
1021.4177, 186076.6094
1021.5956, 186059.2188
1021.7736, 186075.2812
1021.9515, 186096.4062
1022.1294, 186111.2344
1022.3073, 186104.0000
1022.4852, 186107.8906
1022.6631, 186136.6719
1022.8411, 186146.1719
1023.0190, 186173.3906
1023.1969, 186144.0000
1023.3748, 186178.2812
1023.5527, 186225.0625
1023.7307, 186199.8281
1023.9086, 186242.0000
1024.0865, 186287.4062
1024.2644, 186299.7812
1024.4424, 186278.3906
1024.6202, 186250.5625
1024.7982, 186220.3906
1024.9761, 186216.2812
1025.1541, 186222.3906
1025.3319, 186252.5938
1025.5099, 186204.6406
1025.6877, 186185.5938
1025.8657, 186193.1094
1026.0436, 186175.6094
1026.2216, 186134.3906
1026.3994, 186124.1094
1026.5774, 186120.2812
1026.7552, 186211.5000
1026.9332, 186250.8750
1027.1111, 186065.1719
1027.2891, 186081.9375
1027.4669, 186123.9375
1027.6449, 186086.5000
1027.8228, 186047.0000
1028.0007, 186075.7188
1028.1786, 186087.6719
1028.3566, 186100.5625
1028.5344, 186137.4688
1028.7124, 186099.9375
1028.8903, 186145.6094
1029.0682, 186157.8281
1029.2461, 186236.1719
1029.4240, 186280.1719
1029.6019, 186298.9375
1029.7798, 186379.7188
1029.9578, 186399.0625
1030.1356, 186432.7031
1030.3136, 186375.9375
1030.4915, 186355.2969
1030.6694, 186332.7188
1030.8473, 186309.1719
1031.0253, 186272.2188
1031.2031, 186253.3281
1031.3811, 186193.3281
1031.5590, 186199.6719
1031.7369, 186193.3594
1031.9148, 186174.5312
1032.0928, 186159.2969
1032.2706, 186119.5000
1032.4486, 186127.7812
1032.6265, 186131.2188
1032.8044, 186123.2188
1032.9823, 186102.0000
1033.1603, 186129.3281
1033.3381, 186120.6094
1033.5161, 186140.9375
1033.6940, 186135.2344
1033.8719, 186151.5312
1034.0498, 186156.1094
1034.2278, 186177.4375
1034.4056, 186187.2188
1034.5836, 186186.2188
1034.7615, 186224.9375
1034.9395, 186195.5000
1035.1173, 186242.9375
1035.2953, 186261.4062
1035.4731, 186301.7031
1035.6511, 186301.4688
1035.8290, 186328.5000
1036.0070, 186390.2812
1036.1848, 186407.5000
1036.3628, 186382.0000
1036.5406, 186369.3281
1036.7186, 186364.2188
1036.8965, 186353.0625
1037.0745, 186374.7031
1037.2523, 186386.1250
1037.4303, 186347.8281
1037.6082, 186370.6094
1037.7861, 186380.1719
1037.9640, 186388.9375
1038.1420, 186347.6719
1038.3198, 186380.2188
1038.4978, 186380.6719
1038.6757, 186500.5938
1038.8536, 186481.3594
1039.0315, 186346.1719
1039.2095, 186428.5000
1039.3873, 186407.6094
1039.5653, 186414.3281
1039.7432, 186407.2188
1039.9211, 186434.9375
1040.0990, 186456.1719
1040.2770, 186456.7656
1040.4548, 186633.7031
1040.6328, 186515.5625
1040.8107, 186609.3281
1040.9886, 186626.0625
1041.1665, 186722.1094
1041.3445, 186761.0000
1041.5223, 186813.2344
1041.7003, 186867.8750
1041.8782, 186875.6406
1042.0562, 186898.7812
1042.2340, 186910.5000
1042.4120, 186847.4375
1042.5898, 186887.9375
1042.7678, 186864.8906
1042.9457, 186831.8906
1043.1237, 186795.4062
1043.3015, 186784.5938
1043.4795, 186788.7812
1043.6573, 186815.8281
1043.8353, 186821.1094
1044.0132, 186805.5000
1044.1912, 186780.3906
1044.3690, 186820.2969
1044.5470, 186841.1719
1044.7249, 186838.7031
1044.9028, 186824.3906
1045.0807, 186857.7812
1045.2587, 186898.6719
1045.4365, 186929.0625
1045.6145, 186948.5000
1045.7924, 187013.5000
1045.9703, 187074.9375
1046.1482, 187099.2969
1046.3260, 187128.9375
1046.5040, 187186.2812
1046.6819, 187250.5625
1046.8599, 187288.2812
1047.0377, 187302.1094
1047.2157, 187397.5625
1047.3936, 187455.9375
1047.5715, 187548.9375
1047.7494, 187638.4688
1047.9274, 187690.2812
1048.1052, 187733.1719
1048.2832, 187759.6719
1048.4611, 187824.6719
1048.6390, 187858.5000
1048.8169, 187936.3281
1048.9949, 187964.7031
1049.1727, 188011.3594
1049.3507, 188068.4062
1049.5286, 188074.4688
1049.7065, 188197.6719
1049.8844, 188234.7188
1050.0624, 188265.8906
1050.2402, 188339.0625
1050.4182, 188378.3906
1050.5961, 188583.4375
1050.7740, 188455.8750
1050.9519, 188557.0625
1051.1299, 188590.1250
1051.3077, 188670.8281
1051.4857, 188736.7812
1051.6636, 188769.2812
1051.8416, 188842.8906
1052.0194, 188918.1719
1052.1974, 188977.5000
1052.3752, 189100.4375
1052.5532, 189189.5000
